Number,Code,CS,order
1,P1,NCS
2,P-1,CS
3,P2,NCS,polar
4,P21,NCS,polar
5,C2,NCS,polar
6,P1m1,NCS
7,P1c1,NCS 
8,Cm,NCS
9,Cc,NCS 
10,P2/m,CS
11,P21/m,CS
12,C2/m,CS
13,P2/c,CS
14,P21/c,CS
15,C2/c,CS
16,P222,NCS
17,P2221,NCS
18,P21212,NCS
19,P212121,NCS
20,C2221,NCS
21,C222,NCS
22,F222,NCS
23,I222,NCS
24,I212121,NCS
25,Pmm2,NCS
26,Pmc21,NCS
27,Pcc2,NCS
28,Pma2,NCS
29,Pca21,NCS
30,Pnc2,NCS
31,Pmn21,NCS
32,Pba2,NCS
33,Pna21,NCS
34,Pnn2,NCS
35,Cmm2,NCS
36,Cmc21,NCS
37,Ccc2,NCS
38,Amm2,NCS
39,Aem2,NCS
40,Ama2,NCS
41,Aea2,NCS
42,Fmm2,NCS
43,Fdd2,NCS
44,Imm2,NCS
45,Iba2,NCS
46,Ima2,NCS
47,Pmmm,CS
48,Pnnn,CS
49,Pccm,CS
50,Pban,CS
51,Pmma,CS
52,Pnna,CS
53,Pmna,CS
54,Pcca,CS
55,Pbam,CS
56,Pccn,CS
57,Pbcm,CS
58,Pnnm,CS
59,Pmmn,CS
60,Pbcn,CS
61,Pbca,CS
62,Pnma,CS
63,Cmcm,CS
64,Cmce,CS
65,Cmmm,CS
66,Cccm,CS
67,Cmme,CS
68,Ccce,CS
69,Fmmm,CS
70,Fddd,CS
71,Immm,CS
72,Ibam,CS
73,Ibca,CS
74,Imma,CS
75,P4,NCS,polar
76,P41,NCS,polar
77,P42,NCS,polar
78,P43,NCS,polar
79,I4,NCS,polar
80,I41,NCS,polar
81,P-4,NCS
82,I-4,NCS
83,P4/m,CS
84,P42/m,CS
85,P4/n,CS
86,P42/n,CS
87,I4/m,CS
88,I41/a,CS
89,P422,NCS,0
90,P4212,NCS,0
91,P4122,NCS,0
92,P41212,NCS,0
93,P4222,NCS,0
94,P42212,NCS,0
95,P4322,NCS,0
96,P43212,NCS,0
97,I422,NCS,0
98,I4122,NCS,0
99,P4mm,NCS
100,P4bm,NCS
101,P42cm,NCS
102,P42nm,NCS
103,P4cc,NCS
104,P4nc,NCS
105,P42mc,NCS
106,P42bc,NCS
107,I4mm,NCS
108,I4cm,NCS
109,I41md,NCS
110,I41cd,NCS
111,P-42m,NCS
112,P-42c,NCS
113,P-421m,NCS
114,P-421c,NCS
115,P-4m2,NCS
116,P-4c2,NCS
117,P-4b2,NCS
118,P-4n2,NCS
119,I-4m2,NCS
120,I-4c2,NCS
121,I-42m,NCS
122,I-42d,CS
123,P4/mmm,CS
124,P4/mcc,CS
125,P4/nbm,CS
126,P4/nnc,CS
127,P4/mbm,CS
128,P4/mnc,CS
129,P4/nmm,CS
130,P4/ncc,CS
131,P42/mmc,CS
132,P42/mcm,CS
133,P42/nbc,CS
134,P42/nnm,CS
135,P42/mbc,CS
136,P42/mnm,CS
137,P42/nmc,CS
138,P42/ncm,CS
139,I4/mmm,CS
140,I4/mcm,CS
141,I41/amd,CS
142,I41/acd,CS
143,P3,NCS,polar
144,P31,NCS,polar
145,P32,NCS,polar
146,R3,NCS,polar
147,P-3,CS
148,R-3,CS
149,P312,NCS
150,P321,NCS
151,P3112,NCS
152,P3121,NCS
153,P3212,NCS
154,P3221,NCS
155,R32,NCS
156,P3m1,NCS
157,P31m,NCS
158,P3c1,NCS
159,P31c,NCS
160,R3m,NCS
161,R3c,NCS
162,P-31m,CS
163,P-31c,CS
164,P-3m1,CS
165,P-3c1,CS
166,R-3m,CS
167,R-3c,CS
168,P6,NCS
169,P61,NCS
170,P65,NCS
171,P62,NCS
172,P64,NCS
173,P63,NCS
174,P-6,CS
175,P6/m,CS
176,P63/m,CS
177,P622,NCS,polar
178,P6122,0
179,P6522,0
180,P6222,0
181,P6422,0
182,P6322,0
183,P6mm,NCS
184,P6cc,NCS
185,P63cm,NCS
186,P63mc,NCS
187,P-6m2,CS
188,P-6c2,CS
189,P-62m,CS
190,P-62c,CS
191,P6/mmm,CS
192,P6/mcc,CS
193,P63/mcm,CS
194,P63/mmc,CS,0
195,P23,NCS,0
196,F23,NCS,0
197,I23,NCS,0
198,P213,NCS,0
199,I213,NCS,0
200,Pm-3,CS,0
201,Pn-3,CS,0
202,Fm-3,CS,0
203,Fd-3,CS,0
204,Im-3,CS,0
205,Pa-3,CS,0
206,Ia-3,CS,0
207,P432,NCS,0
208,P4232,NCS,0
209,F432,NCS,0
210,F4132,NCS,0
211,I432,NCS,0
212,P4332,NCS,0
213,P4132,NCS,0
214,I4132,NCS,0
215,P-43m,CS,0
216,F-43m,CS,0
217,I-43m,CS,0
218,P-43n,CS,0
219,F-43c,CS,0
220,I-43d,CS,0
221,Pm-3m,CS,0
222,Pn-3n,CS,0
223,Pm-3n,CS,0
224,Pn-3m,CS,0
225,Fm-3m,CS,0
226,Fm-3c,CS,0
227,Fd-3m,CS,0
228,Fd-3c,CS,0
229,Im-3m,CS,0
230,Ia-3d,CS,0
